商品名,価格(円),内容量(g),主原材料,カロリー(kcal/100g),タンパク質(g/100g),脂質(g/100g),リン(g/100g),カルシウム(g/100g),マグネシウム(g/100g),添加物,原産国,対象猫,フードの種類,口コミ評価(0-5)
Farmina N&D キヌア ターキー,5800,1500,ターキー・キヌア,380,30,16,1.1,1.3,0.09,酸化防止剤（ミックストコフェロール）,イタリア,成猫,ドライ,4.6
オリジン キャット＆キトゥン,6800,1800,チキン・ターキー・魚,397,40,20,1.4,1.6,0.10,なし,カナダ,成猫,ドライ,4.7
ロイヤルカナン 腎臓サポート,4500,500,トウモロコシ・米・鶏肉,355,26,16,0.25,0.6,0.05,酸化防止剤（ミックストコフェロール）,フランス,成猫（腎臓病）,ドライ,4.2
ヒルズ サイエンス・ダイエット 成猫用,3500,1800,鶏肉・トウモロコシ,370,32,18,0.8,1.0,0.07,酸化防止剤（ミックストコフェロール）,アメリカ,成猫,ドライ,4.3
モグニャン,2980,1500,白身魚,345,27,14,0.9,1.1,0.08,なし,イギリス,成猫,ドライ,4.2
ピュリナ プロプラン サーモン,3200,1400,サーモン・米,385,40,16,1.0,1.2,0.08,酸化防止剤（ミックストコフェロール）,アメリカ,成猫,ドライ,4.4
アカナ ワイルドプレイリー,5500,1800,チキン・七面鳥・魚,390,37,18,1.2,1.4,0.09,なし,カナダ,成猫,ドライ,4.5
いなば CIAOちゅーる まぐろ,1500,560,まぐろ,7,1.6,0.1,0.05,0.1,0.01,増粘剤（加工でん粉）,タイ,成猫,ウェット,4.8
ロイヤルカナン インドア,3200,2000,鶏肉・米・トウモロコシ,341,32,14,0.9,1.1,0.07,酸化防止剤（ミックストコフェロール）,フランス,成猫（室内）,ドライ,4.3
ネイチャーズバラエティ インスティンクト,4800,1000,チキン,389,43,16,1.1,1.3,0.08,なし,アメリカ,成猫,ドライ,4.5
